epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744041127748,2025-04-07T18.52.07.748,6.289,-0.000346563,0.000064875,-0.000240375
1744041127787,2025-04-07T18.52.07.787,6.328,-0.000346938,0.000064500,-0.000241188
1744041127827,2025-04-07T18.52.07.827,6.368,-0.000347688,0.000063375,-0.000240375
1744041127866,2025-04-07T18.52.07.866,6.407,-0.000346625,0.000063750,-0.000242062
1744041127906,2025-04-07T18.52.07.906,6.447,-0.000346938,0.000064500,-0.000240000
1744041127945,2025-04-07T18.52.07.945,6.486,-0.000347313,0.000064125,-0.000240500
1744041127986,2025-04-07T18.52.07.986,6.527,-0.000346625,0.000063750,-0.000241688
1744041128026,2025-04-07T18.52.08.026,6.567,-0.000346625,0.000065250,-0.000240875
1744041128065,2025-04-07T18.52.08.065,6.606,-0.000346250,0.000064125,-0.000240875
1744041128105,2025-04-07T18.52.08.105,6.646,-0.000347313,0.000063750,-0.000242000
1744041128145,2025-04-07T18.52.08.145,6.686,-0.000348437,0.000064500,-0.000241625
1744041128184,2025-04-07T18.52.08.184,6.725,-0.000347688,0.000064875,-0.000240437
1744041128225,2025-04-07T18.52.08.225,6.766,-0.000347688,0.000064500,-0.000240875
1744041128265,2025-04-07T18.52.08.265,6.806,-0.000347313,0.000064875,-0.000240062
1744041128304,2025-04-07T18.52.08.304,6.845,-0.000347313,0.000064500,-0.000241313
1744041128344,2025-04-07T18.52.08.344,6.885,-0.000347000,0.000064500,-0.000242875
1744041128383,2025-04-07T18.52.08.383,6.924,-0.000348062,0.000064125,-0.000241563
1744041128423,2025-04-07T18.52.08.423,6.964,-0.000347000,0.000064500,-0.000240938
1744041128464,2025-04-07T18.52.08.464,7.005,-0.000347688,0.000064500,-0.000240750
1744041128503,2025-04-07T18.52.08.503,7.044,-0.000347313,0.000064500,-0.000241625
1744041128543,2025-04-07T18.52.08.543,7.084,-0.000348062,0.000063750,-0.000241625
1744041128583,2025-04-07T18.52.08.583,7.124,-0.000347688,0.000064875,-0.000240875
1744041128622,2025-04-07T18.52.08.622,7.163,-0.000347688,0.000064500,-0.000240875
1744041128662,2025-04-07T18.52.08.662,7.203,-0.000348437,0.000064500,-0.000240750
1744041128703,2025-04-07T18.52.08.703,7.244,-0.000348812,0.000064875,-0.000241750
1744041128742,2025-04-07T18.52.08.742,7.283,-0.000347688,0.000065250,-0.000242125
1744041128782,2025-04-07T18.52.08.782,7.323,-0.000348062,0.000064500,-0.000241688
1744041128821,2025-04-07T18.52.08.821,7.362,-0.000348812,0.000064500,-0.000241375
1744041128861,2025-04-07T18.52.08.861,7.402,-0.000347688,0.000065562,-0.000242500
1744041128900,2025-04-07T18.52.08.900,7.441,-0.000348062,0.000065250,-0.000240500
1744041128941,2025-04-07T18.52.08.941,7.482,-0.000348062,0.000065562,-0.000241625
1744041128981,2025-04-07T18.52.08.981,7.522,-0.000348437,0.000065250,-0.000241688
1744041129021,2025-04-07T18.52.09.021,7.562,-0.000348062,0.000064875,-0.000241625
1744041129060,2025-04-07T18.52.09.060,7.601,-0.000347313,0.000064125,-0.000241625
1744041129100,2025-04-07T18.52.09.100,7.641,-0.000348062,0.000065250,-0.000242562
1744041129139,2025-04-07T18.52.09.139,7.680,-0.000348062,0.000065250,-0.000242500
1744041129180,2025-04-07T18.52.09.180,7.721,-0.000348062,0.000065250,-0.000242437
1744041129220,2025-04-07T18.52.09.220,7.761,-0.000347688,0.000064875,-0.000241625
1744041129259,2025-04-07T18.52.09.259,7.800,-0.000348812,0.000065250,-0.000241625
1744041129299,2025-04-07T18.52.09.299,7.840,-0.000348062,0.000065250,-0.000241250
1744041129338,2025-04-07T18.52.09.338,7.879,-0.000348437,0.000065250,-0.000241250
1744041129378,2025-04-07T18.52.09.378,7.919,-0.000348062,0.000065250,-0.000241250
1744041129419,2025-04-07T18.52.09.419,7.960,-0.000348062,0.000064875,-0.000240437
1744041129459,2025-04-07T18.52.09.459,8.000,-0.000348437,0.000065938,-0.000241625
1744041129498,2025-04-07T18.52.09.498,8.039,-0.000349187,0.000065250,-0.000241688
1744041129538,2025-04-07T18.52.09.538,8.079,-0.000348812,0.000065938,-0.000240813
1744041129577,2025-04-07T18.52.09.577,8.118,-0.000348812,0.000065188,-0.000241188
1744041129617,2025-04-07T18.52.09.617,8.158,-0.000349187,0.000065250,-0.000241625
1744041129658,2025-04-07T18.52.09.658,8.199,-0.000347313,0.000065562,-0.000240437
1744041129697,2025-04-07T18.52.09.697,8.238,-0.000349187,0.000065562,-0.000241188
1744041129737,2025-04-07T18.52.09.737,8.278,-0.000349187,0.000065188,-0.000241188
1744041129776,2025-04-07T18.52.09.776,8.317,-0.000348812,0.000066313,-0.000241313
1744041129816,2025-04-07T18.52.09.816,8.357,-0.000348437,0.000065250,-0.000240875
1744041129855,2025-04-07T18.52.09.855,8.396,-0.000348812,0.000065250,-0.000240875
1744041129897,2025-04-07T18.52.09.897,8.438,-0.000349187,0.000065562,-0.000241688
1744041129936,2025-04-07T18.52.09.936,8.477,-0.000348812,0.000065250,-0.000242500
1744041129976,2025-04-07T18.52.09.976,8.517,-0.000349187,0.000065938,-0.000242437
1744041130015,2025-04-07T18.52.10.015,8.556,-0.000348437,0.000065562,-0.000241250
1744041130055,2025-04-07T18.52.10.055,8.596,-0.000349938,0.000064875,-0.000242437
1744041130094,2025-04-07T18.52.10.094,8.635,-0.000349187,0.000065562,-0.000241625
1744041130135,2025-04-07T18.52.10.135,8.676,-0.000348062,0.000065938,-0.000241750
1744041130175,2025-04-07T18.52.10.175,8.716,-0.000349187,0.000064875,-0.000241250
1744041130214,2025-04-07T18.52.10.214,8.755,-0.000349187,0.000065250,-0.000242125
1744041130254,2025-04-07T18.52.10.254,8.795,-0.000349187,0.000065562,-0.000241688
1744041130293,2025-04-07T18.52.10.293,8.834,-0.000348812,0.000065562,-0.000240813
1744041130333,2025-04-07T18.52.10.333,8.874,-0.000349187,0.000065250,-0.000242437
1744041130373,2025-04-07T18.52.10.373,8.914,-0.000349562,0.000064875,-0.000240875
1744041130414,2025-04-07T18.52.10.414,8.955,-0.000349187,0.000065562,-0.000242000
1744041130453,2025-04-07T18.52.10.453,8.994,-0.000349562,0.000065250,-0.000240938
1744041130493,2025-04-07T18.52.10.493,9.034,-0.000349562,0.000064875,-0.000242062
